COLL_NOM,COLL_SIRET,JOUR,year,temp,day,month,date
Antibes,21060004500012,5-janv.,2023,15.3,5,1,2023-01-05
Antibes,21060004500012,6-janv.,2021,12.8,6,1,2021-01-06
Antibes,21060004500012,11-janv.,2023,13.2,11,1,2023-01-11
Antibes,21060004500012,12-janv.,2022,13.5,12,1,2022-01-12
Antibes,21060004500012,18-janv.,2023,14.2,18,1,2023-01-18
Antibes,21060004500012,19-janv.,2022,13.2,19,1,2022-01-19
Antibes,21060004500012,20-janv.,2021,12,20,1,2021-01-20
Antibes,21060004500012,25-janv.,2023,13.2,25,1,2023-01-25
Antibes,21060004500012,26-janv.,2022,12.6,26,1,2022-01-26
Antibes,21060004500012,27-janv.,2021,11,27,1,2021-01-27
Antibes,21060004500012,1-fevr,2023,12.6,1,2,2023-02-01
Antibes,21060004500012,2-fevr,2022,12.8,2,2,2022-02-02
Antibes,21060004500012,3-fevr,2021,12.2,3,2,2021-02-03
Antibes,21060004500012,8-fevr,2023,12.5,8,2,2023-02-08
Antibes,21060004500012,10-fevr,2022,13.5,10,2,2022-02-10
Antibes,21060004500012,15-fevr,2022,12.7,15,2,2022-02-15
Antibes,21060004500012,15-fevr,2023,13,15,2,2023-02-15
Antibes,21060004500012,17-fevr,2021,12.2,17,2,2021-02-17
Antibes,21060004500012,22-fevr,2023,13.8,22,2,2023-02-22
Antibes,21060004500012,23-fevr,2022,13.2,23,2,2022-02-23
Antibes,21060004500012,24-fevr,2021,13.2,24,2,2021-02-24
Antibes,21060004500012,1-mars,2023,13.3,1,3,2023-03-01
Antibes,21060004500012,2-mars,2022,13.1,2,3,2022-03-02
Antibes,21060004500012,3-mars,2021,12.9,3,3,2021-03-03
Antibes,21060004500012,8-mars,2023,13.4,8,3,2023-03-08
Antibes,21060004500012,9-mars,2022,13.2,9,3,2022-03-09
Antibes,21060004500012,10-mars,2021,13.4,10,3,2021-03-10
Antibes,21060004500012,15-mars,2023,13.2,15,3,2023-03-15
Antibes,21060004500012,16-mars,2022,13.3,16,3,2022-03-16
Antibes,21060004500012,17-mars,2021,13.6,17,3,2021-03-17
Antibes,21060004500012,22-mars,2023,14,22,3,2023-03-22
Antibes,21060004500012,23-mars,2022,13.6,23,3,2022-03-23
Antibes,21060004500012,24-mars,2021,13.7,24,3,2021-03-24
Antibes,21060004500012,29-mars,2023,13.4,29,3,2023-03-29
