numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230828120000;101440;30;2;300;4.400000;291.950000;284.950000;64;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100590;mq;mq;240;mq;mq;mq;mq;288.150000;mq;mq;6.900000;9.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20230828120000;101630;80;3;350;3.600000;291.650000;287.350000;76;20000;2;2;mq;75;6;800;34;20;10;101520;mq;mq;230;mq;mq;mq;mq;mq;mq;mq;5.600000;5.700000;-10;mq;mq;mq;mq;0.000000;0.800000;0.800000;0.800000;0.800000;mq;mq;mq;mq;6;6;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20230828120000;101540;40;2;350;4.200000;291.650000;286.550000;72;45460;0;mq;mq;90;7;800;mq;mq;mq;100750;mq;mq;180;mq;mq;mq;mq;289.350000;mq;mq;7.700000;7.700000;-10;0;0.000000;mq;mq;0.000000;2.000000;2.800000;3.000000;3.000000;mq;mq;mq;mq;3;mq;720;5;mq;900;7;mq;1080;mq;mq;mq;
07037;20230828120000;101430;20;1;10;2.400000;291.950000;285.650000;67;19870;0;mq;mq;90;6;800;mq;mq;mq;99600;mq;mq;170;mq;mq;mq;mq;288.450000;mq;mq;4.200000;6.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;1.000000;1.200000;1.600000;mq;mq;mq;mq;2;mq;780;3;mq;1110;6;mq;1410;mq;mq;mq;
07072;20230828120000;101280;-50;5;20;3.100000;292.650000;285.450000;63;20000;0;mq;mq;75;2;1250;mq;mq;mq;100170;mq;mq;100;mq;mq;mq;mq;285.250000;mq;mq;5.400000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;1110;3;mq;1740;5;mq;6180;mq;9;mq;
07110;20230828120000;101860;50;0;330;4.900000;290.150000;284.650000;70;19220;0;mq;mq;100;8;800;mq;mq;mq;100700;mq;mq;70;mq;mq;mq;mq;283.050000;mq;mq;8.400000;9.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.200000;1.000000;mq;mq;mq;mq;2;mq;810;8;mq;990;mq;mq;mq;mq;mq;mq;
07117;20230828120000;101770;30;2;290;5.700000;290.850000;285.750000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101080;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9.800000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20230828120000;101570;-20;5;330;6.100000;295.050000;286.650000;59;36750;0;mq;mq;mq;4;1250;mq;mq;mq;101140;mq;mq;20;mq;mq;mq;mq;287.950000;mq;mq;11.200000;11.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;2;mq;1020;4;mq;1200;mq;mq;mq;mq;mq;mq;
07139;20230828120000;101520;40;3;320;3.000000;289.950000;287.050000;83;14440;0;mq;mq;100;8;1250;mq;mq;mq;99810;mq;mq;110;mq;mq;mq;mq;290.650000;mq;mq;5.600000;8.700000;-10;1;0.000000;mq;mq;1.200000;1.600000;1.800000;2.400000;3.800000;mq;mq;mq;mq;8;mq;1410;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20230828120000;101390;-10;7;340;2.400000;291.050000;286.550000;75;25000;25;8;6;90;7;800;38;mq;mq;100330;mq;mq;90;mq;mq;mq;mq;mq;mq;mq;4.000000;7.900000;-10;0;0.000000;0.000000;-60;2.400000;2.400000;2.400000;2.600000;3.600000;mq;mq;mq;mq;3;8;690;7;6;1800;mq;mq;mq;mq;mq;mq;
